cadena,gamma_Nm,tau_anios,k_top,chi_ms,prob
C,1.0309e+19,9.4668,0.2437,0.23654,0.49688
C,1.9841e+19,5.9987,0.36069,0.20562,0.5895
C,1.0038e+19,16.045,0.76429,0.28569,0.36052
C,1.0489e+19,8.1324,0.4689,0.24291,0.47826
C,9.4881e+18,13.363,0.4883,0.26037,0.42854
C,1.0505e+19,26.063,0.3377,0.29855,0.32819
C,2.045e+19,4.0854,0.083195,0.17843,0.67167
C,8.327e+18,9.7149,0.0092006,0.17051,0.69529
C,1.3733e+19,6.3263,0.17017,0.26931,0.4039
C,2.4407e+19,5.1735,0.78232,0.25124,0.45429
C,2.3516e+19,10.682,1.0577,0.25726,0.43723
C,9.738e+18,11.577,0.20331,0.23431,0.50344
C,1.1113e+19,12.133,0.43281,0.29118,0.34652
C,3.2232e+19,2.7996,0.12916,0.20549,0.58987
C,2.3899e+19,4.0849,0.22015,0.23448,0.50296
C,1.2207e+19,10.389,0.9186,0.23051,0.5147
C,1.7698e+19,3.6646,0.24311,0.26551,0.41428
C,7.3551e+18,21.368,0.11914,0.31006,0.30068
C,1.275e+19,8.5083,0.35179,0.17203,0.69078
C,1.7509e+19,7.126,1.0378,0.23772,0.49342
C,1.4815e+19,6.0507,0.14867,0.30551,0.31139
C,4.8418e+18,22.844,0.085705,0.18003,0.66687
C,1.6911e+19,9.7486,0.88846,0.29538,0.336
C,1.9077e+19,7.5363,0.66389,0.28436,0.36394
C,9.1832e+18,10.299,0.2099,0.28921,0.35152
C,1.0318e+19,10.877,0.38241,0.2721,0.39635
C,9.9873e+18,16.215,0.12045,0.27748,0.38196
C,1.958e+19,3.3072,0.15911,0.23678,0.49619
C,7.2214e+18,22.694,0.20524,0.15497,0.74068
C,1.3338e+19,12.188,0.37594,0.21952,0.54751
C,2.2028e+19,3.4735,0.1566,0.29573,0.33515
C,1.3345e+19,10.755,0.58839,0.10209,0.87785
C,6.0609e+18,9.4113,0.006804,0.29525,0.33634
C,3.531e+19,1.519,0.050431,0.27248,0.39531
C,2.373e+19,16.636,1.2202,0.29458,0.33799
C,3.0914e+19,2.3915,0.14208,0.21476,0.56186
C,1.0877e+19,10.867,0.50507,0.28898,0.3521
C,1.5202e+19,6.5389,0.41853,0.20951,0.57771
C,1.2043e+19,9.3763,0.044258,0.19894,0.60975
C,2.1235e+19,4.6459,0.060384,0.2859,0.35996
C,1.4442e+19,6.9187,0.32142,0.30911,0.30289
C,9.2753e+18,18.229,0.22716,0.29035,0.34861
C,1.0178e+19,10.713,0.25109,0.26747,0.40892
C,8.8298e+18,16.011,0.60077,0.30017,0.32423
C,1.4064e+19,6.9106,0.27278,0.20051,0.60499
C,1.04e+19,20.82,0.42621,0.19923,0.60888
C,1.4767e+19,7.6202,0.27864,0.295,0.33695
C,1.5541e+19,5.9603,0.11231,0.28072,0.37342
C,3.8832e+19,2.0225,0.14908,0.22408,0.53384
C,5.3648e+19,1.4565,0.028697,0.25158,0.45332
C,3.8447e+19,2.2673,0.18713,0.30928,0.30251
C,9.9262e+18,6.0628,0.06123,0.22951,0.51765
C,1.1985e+19,5.741,0.14016,0.30208,0.3196
C,1.2494e+19,6.7427,0.12451,0.21399,0.56418
C,6.3529e+18,12.812,0.041918,0.23993,0.48696
C,1.1432e+19,4.9319,0.0025432,0.26992,0.40224
C,1.4777e+19,8.2058,0.1868,0.18685,0.64636
C,5.6578e+18,11.061,0.14744,0.24002,0.48671
C,5.4293e+19,1.2039,0.047077,0.21101,0.57317
C,1.992e+19,10.261,0.84924,0.26292,0.42144
C,1.1657e+19,9.5319,0.37892,0.2334,0.50615
C,9.5395e+18,8.6197,0.1607,0.24029,0.48589
C,1.1634e+19,6.2422,0.20122,0.26278,0.42183
C,1.0994e+19,12.485,0.49309,0.21441,0.5629
C,1.5268e+19,11.719,0.55551,0.14703,0.76321
C,2.0034e+19,8.6596,0.57725,0.25403,0.44636
C,5.7853e+19,0.93237,0.028289,0.25653,0.4393
C,7.9547e+19,0.9994,0.18003,0.15254,0.74763
C,6.527e+19,0.94417,0.022679,0.26625,0.41225
C,1.4349e+19,12.074,0.63471,0.18672,0.64673
C,1.9174e+19,22.456,0.85302,0.17015,0.69635
C,9.9798e+18,13.301,0.54017,0.27654,0.38446
C,1.8413e+19,5.5932,0.23197,0.23665,0.49658
C,8.0977e+18,8.1311,0.083825,0.29204,0.34436
C,2.3662e+19,3.0787,0.25883,0.23526,0.50066
C,1.0774e+19,7.1253,0.2132,0.30935,0.30233
C,1.252e+19,8.1202,0.33418,0.15853,0.73041
C,2.6616e+19,2.7741,0.0035,0.10527,0.87064
C,1.561e+19,6.5885,0.22276,0.28005,0.37519
C,1.573e+19,11.176,0.80398,0.25351,0.44783
C,1.7173e+19,6.0175,0.33989,0.28451,0.36357
C,8.9648e+18,10.622,0.32688,0.25282,0.44978
C,1.527e+19,6.4371,0.036817,0.30534,0.31179
C,1.7537e+19,3.7503,0.21475,0.28781,0.35507
C,9.4477e+18,9.584,0.25137,0.24941,0.45951
C,4.4265e+18,17.462,0.046625,0.2988,0.32759
C,1.0261e+19,5.9129,0.012829,0.27568,0.38675
C,7.0286e+18,30.329,0.47975,0.21187,0.57059
C,7.1326e+18,12.757,0.1345,0.23341,0.50611
C,1.1997e+19,7.466,0.20281,0.16267,0.71836
C,5.9591e+18,16.053,0.0035453,0.19156,0.63212
C,1.5562e+19,6.6553,0.20624,0.26807,0.40728
C,9.9984e+18,6.9307,0.14967,0.24766,0.46454
C,1.506e+19,11.299,0.42398,0.23077,0.51391
C,2.2811e+19,2.3904,0.049662,0.30047,0.3235
C,1.1305e+19,7.8806,0.30085,0.30253,0.31853
C,3.1034e+19,4.1777,1.0485,0.24034,0.48577
C,1.4981e+19,6.0618,0.28922,0.29615,0.3341
C,1.4806e+19,7.0677,0.46407,0.2756,0.38695
C,2.272e+19,6.1676,0.5653,0.17526,0.68116
C,1.1215e+19,9.0659,0.1356,0.15744,0.73358
C,2.2621e+19,4.8218,0.26872,0.2257,0.529
C,2.9117e+19,3.9096,0.74215,0.19669,0.61658
C,1.2951e+19,6.4042,0.15546,0.24222,0.48029
C,1.4534e+19,13.19,0.69628,0.20642,0.58706
C,1.2345e+19,6.0695,0.14387,0.1568,0.73542
C,1.1694e+19,6.1089,0.35035,0.29462,0.33789
C,5.3125e+19,0.99693,0.039543,0.28563,0.36068
C,4.7855e+19,1.086,0.08597,0.18387,0.65534
C,4.552e+19,0.90109,0.032149,0.28403,0.3648
C,4.1513e+19,1.2002,0.096913,0.29573,0.33514
C,1.2209e+19,13.934,0.49664,0.2249,0.53139
C,8.2434e+18,15.264,0.34309,0.22187,0.54047
C,2.1934e+19,9.797,0.89477,0.2811,0.37242
C,1.3584e+19,6.6793,0.39627,0.27721,0.38268
C,2.8842e+19,2.5446,0.086894,0.13554,0.79482
C,6.1419e+18,13.163,0.034282,0.19082,0.63436
C,1.0032e+19,12.303,0.33199,0.25768,0.43606
C,9.3844e+18,11.71,0.27307,0.26489,0.41598
C,1.7167e+19,2.7705,0.094431,0.26539,0.41463
C,9.5523e+18,6.5822,0.035364,0.20642,0.58706
C,1.7309e+19,6.2568,0.30122,0.28216,0.36966
C,5.0386e+19,1.1859,0.0076258,0.14001,0.78268
C,1.5916e+19,4.1672,0.090281,0.21444,0.5628
C,8.7774e+18,7.9616,0.1363,0.11625,0.84457
C,1.3557e+19,9.1391,0.17946,0.19081,0.63438
C,1.0889e+19,32.93,0.68172,0.30157,0.32083
C,4.1485e+19,1.4255,0.062942,0.20445,0.59303
C,1.0075e+19,10.358,0.43472,0.27972,0.37605
C,1.6082e+19,11.145,0.66421,0.28408,0.36466
C,1.2474e+19,9.4399,0.58401,0.24556,0.47061
C,7.51e+18,10.028,0.087629,0.19944,0.60822
C,2.8168e+19,3.3389,0.23056,0.18187,0.66136
C,1.805e+19,4.6261,0.33273,0.13087,0.80728
C,1.0517e+19,13.474,0.37479,0.17779,0.6736
C,6.4367e+18,21.391,0.12895,0.28645,0.35855
C,6.738e+18,14.041,0.2069,0.16165,0.72135
C,7.5585e+18,11.431,0.010122,0.28379,0.36542
C,7.5352e+18,12.785,0.32195,0.26983,0.40247
C,2.6447e+19,2.8846,0.062532,0.27169,0.39745
C,9.0321e+18,7.2905,0.056685,0.12233,0.82939
C,9.5458e+18,11.297,0.14816,0.12374,0.82582
C,1.3423e+19,5.1761,0.084577,0.26083,0.42725
C,2.0331e+19,2.1828,0.051749,0.24107,0.48363
C,9.1686e+18,14.001,0.24321,0.18448,0.65351
C,1.4682e+19,6.6847,0.32728,0.14335,0.77347
C,1.5189e+19,6.531,0.29666,0.19024,0.6361
C,7.0127e+18,17.438,0.11043,0.25007,0.45764
C,1.044e+19,9.6048,0.67471,0.19715,0.61517
C,1.2482e+19,9.0735,0.28033,0.2688,0.40528
C,1.855e+19,4.0661,0.18346,0.18519,0.65135
C,1.6741e+19,4.2054,0.2603,0.27762,0.38159
C,3.8132e+19,2.275,0.14049,0.26877,0.40538
C,1.2765e+19,6.6831,0.2245,0.29356,0.34053
C,1.3119e+19,5.1914,0.30232,0.16218,0.7198
C,7.7072e+18,42.612,0.21379,0.29752,0.33072
C,1.4934e+19,11.344,0.41755,0.27974,0.37598
C,1.2596e+19,5.2062,0.25429,0.23387,0.50474
C,2.3566e+19,4.2431,0.51899,0.18978,0.63749
C,3.419e+19,2.099,0.13367,0.22755,0.52348
C,2.3564e+19,3.2682,0.09846,0.14092,0.78018
C,1.7737e+19,9.1136,0.7299,0.14381,0.7722
C,6.5472e+18,10.354,0.16343,0.22782,0.52267
C,5.3588e+18,24.129,0.12002,0.25462,0.44468
C,1.0362e+19,10.218,0.50598,0.21379,0.56478
C,8.6363e+18,11.279,0.13984,0.076577,0.92932
C,8.0221e+18,5.5101,0.039227,0.30939,0.30225
C,2.8892e+19,2.3458,0.25684,0.30075,0.32283
C,1.1583e+19,5.5561,0.27948,0.2783,0.37978
C,4.4112e+19,1.4416,0.040293,0.15517,0.7401
C,1.0516e+20,0.66288,0.19926,0.23538,0.50031
C,8.5946e+19,0.64503,0.073232,0.2811,0.37242
C,7.729e+19,0.83884,0.059553,0.13118,0.80647
C,4.9538e+19,1.583,0.017993,0.25738,0.43689
C,4.718e+19,1.2399,0.1392,0.26449,0.41709
C,1.2009e+19,4.2778,0.15639,0.28824,0.35398
C,3.0234e+19,1.7012,0.019941,0.20486,0.5918
C,2.2185e+19,10.762,0.71576,0.30514,0.31227
C,1.5313e+19,6.0305,0.18084,0.29558,0.33552
C,1.1115e+19,7.078,0.15113,0.2083,0.58137
C,1.7471e+19,9.1348,0.30112,0.28008,0.37509
C,2.1484e+19,2.9966,0.13525,0.2345,0.50289
C,1.1681e+19,12.001,0.63074,0.28832,0.35378
C,9.3041e+18,22.667,0.52836,0.29013,0.34916
C,8.5065e+18,16.004,0.1598,0.26363,0.41948
C,1.9368e+19,9.385,0.62962,0.21438,0.56299
C,1.8795e+19,6.9703,0.57754,0.28691,0.35737
C,5.5771e+18,21.447,0.18864,0.30017,0.32424
C,2.0352e+19,9.9248,0.89755,0.23857,0.49092
C,1.3979e+19,15.267,0.88169,0.29155,0.34558
C,1.7247e+19,12.141,1.2163,0.30044,0.32357
C,4.6839e+18,17.931,0.061417,0.28349,0.36621
C,1.2585e+19,5.6016,0.11767,0.2932,0.34144
C,3.5061e+19,2.7174,0.32145,0.26339,0.42015
C,2.148e+19,4.5129,0.083973,0.21955,0.54742
C,1.0677e+19,10.131,0.33188,0.25188,0.45247
C,2.154e+19,11.446,1.1797,0.29732,0.33122
C,2.1869e+19,3.9252,0.5567,0.27515,0.38814
C,7.6438e+18,10.353,0.015084,0.26878,0.40535
C,2.9772e+19,3.2526,0.29865,0.24388,0.47546
C,1.0315e+19,7.5652,0.2026,0.24696,0.46655
C,1.0088e+19,9.098,0.15301,0.25293,0.44947
C,1.3486e+19,10.799,0.8148,0.23999,0.48679
C,1.8227e+19,5.5997,0.25804,0.13504,0.79616
C,1.0998e+19,11.998,0.12184,0.25196,0.45225
C,2.3232e+19,2.3983,0.021341,0.18881,0.64042
C,1.2692e+19,5.7296,0.20471,0.30885,0.30351
C,1.1042e+19,7.6334,0.086214,0.13515,0.79587
C,2.7057e+19,2.2581,0.068361,0.17939,0.66879
C,1.8958e+19,4.9858,0.13733,0.27869,0.37877
C,1.0722e+19,5.5142,0.046539,0.29052,0.3482
C,1.6443e+19,4.3123,0.10083,0.20103,0.60341
C,9.8698e+18,13.116,0.2123,0.1532,0.74573
C,9.5289e+18,16.692,0.53411,0.2435,0.47658
C,1.2982e+19,4.7631,0.046098,0.19802,0.61252
C,2.0808e+19,3.8527,0.23257,0.17071,0.6947
C,4.4974e+19,1.9378,0.065413,0.26984,0.40246
C,1.5249e+19,13.421,0.93089,0.26219,0.42347
C,2.7297e+19,3.3471,0.32573,0.28922,0.35149
C,1.1778e+19,8.369,0.064217,0.30179,0.3203
C,1.6395e+19,3.5182,0.048769,0.2832,0.36696
C,1.2071e+19,5.082,0.015786,0.17349,0.68643
C,7.7078e+18,14.443,0.017181,0.28004,0.3752
C,1.9743e+19,9.402,1.3747,0.28622,0.35915
C,2.5678e+19,8.4526,0.62573,0.19022,0.63617
C,1.4079e+19,7.3087,0.17046,0.17178,0.69152
C,2.4043e+19,3.4562,0.29056,0.20394,0.59459
C,3.1424e+19,2.7391,0.28405,0.28784,0.355
C,8.4715e+18,9.2178,0.11653,0.23324,0.5066
C,2.6163e+19,2.0343,0.0084259,0.26237,0.42295
C,1.0948e+19,7.9992,0.14774,0.093919,0.8956
C,1.8098e+19,7.4559,0.6084,0.27387,0.39158
C,2.2417e+19,3.5551,0.15263,0.25786,0.43555
C,1.2106e+19,7.8346,0.33921,0.25968,0.43046
C,7.9399e+18,10.617,0.012274,0.26399,0.41848
C,1.4981e+19,13.68,0.77683,0.26877,0.40537
C,1.0314e+19,16.194,0.47249,0.13622,0.79299
C,1.0444e+19,10.02,0.33649,0.21666,0.55611
C,2.0922e+19,6.8272,0.73569,0.30029,0.32395
C,1.9968e+19,3.7871,0.26299,0.23902,0.48963
C,3.7197e+19,2.4657,0.042192,0.28152,0.37132
C,3.0531e+19,2.2077,0.21428,0.20126,0.60272
C,2.5324e+19,4.8139,0.32142,0.24448,0.47373
C,7.821e+18,14.586,0.20015,0.11359,0.85106
C,3.2101e+19,2.0088,0.02029,0.30825,0.30492
C,2.5221e+19,2.9554,0.12252,0.15691,0.73508
C,1.2457e+19,9.0408,0.17829,0.2843,0.36411
C,1.0196e+19,17.502,0.43923,0.12913,0.81185
C,1.4575e+19,6.7738,0.56049,0.21719,0.55452
C,2.4774e+19,4.0334,0.52605,0.25137,0.45393
C,1.1398e+19,8.0211,0.23583,0.29965,0.3255
C,1.4486e+19,5.7669,0.2163,0.26181,0.42452
C,2.9203e+19,2.9959,0.10224,0.30795,0.30563
C,4.1015e+19,1.3871,0.0063744,0.19144,0.63248
C,1.2919e+19,12.034,0.72122,0.21686,0.55552
C,3.5527e+19,1.8923,0.27831,0.22785,0.52259
C,8.0386e+18,9.5712,0.15334,0.24399,0.47515
C,1.2272e+19,8.9922,0.32421,0.12138,0.83179
C,9.0714e+18,9.1855,0.13797,0.2582,0.43461
C,1.1511e+19,16.514,0.20305,0.30943,0.30216
C,8.6379e+18,16.275,0.33459,0.29156,0.34557
C,6.7961e+18,8.1859,0.099083,0.30681,0.30831
C,5.3622e+18,27.543,0.22601,0.19046,0.63544
C,1.9036e+19,6.267,0.30311,0.2074,0.58411
C,1.9377e+19,6.2791,0.60744,0.28175,0.37072
C,1.2753e+19,6.7364,0.23061,0.22488,0.53147
C,1.5135e+19,7.0737,0.64115,0.30648,0.30909
C,1.072e+19,7.7119,0.078772,0.31003,0.30075
C,1.8526e+19,5.9092,0.36246,0.28644,0.35857
C,1.835e+19,4.4118,0.18548,0.1566,0.736
C,2.4557e+19,2.7332,0.092186,0.17132,0.6929
C,3.4248e+19,4.0413,0.90472,0.28837,0.35363
C,2.4406e+19,13.857,1.0835,0.28195,0.37021
C,2.0367e+19,5.8357,0.78962,0.22272,0.53791
C,1.1446e+19,14.785,0.26352,0.26584,0.41339
C,7.9095e+18,24.207,0.30071,0.27481,0.38906
C,1.4298e+19,8.6145,0.31116,0.26843,0.40629
C,1.6551e+19,6.2179,0.073143,0.27485,0.38896
C,1.0976e+19,6.5948,0.17212,0.22509,0.53083
C,1.1832e+19,8.2349,0.12728,0.29811,0.32927
C,3.966e+18,30.299,0.039533,0.16651,0.70712
C,8.1824e+18,31.587,0.25296,0.26757,0.40865
C,2.9284e+19,1.736,0.056489,0.2643,0.41763
C,1.2562e+19,9.4962,0.12965,0.25046,0.45651
C,1.1384e+19,7.4933,0.044715,0.18031,0.66604
C,2.1295e+19,2.5922,0.16247,0.24907,0.4605
C,3.4745e+19,2.9233,0.15079,0.28161,0.37109
C,8.5971e+18,14.55,0.38304,0.26851,0.40608
C,1.1076e+19,33.944,0.53815,0.27449,0.38991
C,2.2272e+19,4.2231,0.68332,0.28048,0.37405
C,8.8241e+18,9.7626,0.1089,0.20297,0.59752
C,9.4958e+18,6.2457,0.10737,0.28722,0.35658
C,2.2152e+19,3.0326,0.19201,0.18903,0.63976
C,2.0488e+19,5.1448,0.26107,0.24837,0.46252
C,1.3391e+19,10.216,0.62581,0.25796,0.43527
C,9.9177e+18,17.541,0.95091,0.22544,0.52977
C,5.2629e+18,14.888,0.091747,0.26767,0.40837
C,1.4271e+19,6.7631,0.53686,0.21099,0.57325
C,1.6567e+19,13.759,0.86429,0.21048,0.57478
C,9.9125e+18,4.262,0.044374,0.2463,0.46847
C,1.6083e+19,6.3459,0.47877,0.20515,0.59092
C,9.4297e+18,21.71,0.25992,0.30102,0.32218
C,1.2374e+19,7.2837,0.017588,0.18955,0.6382
C,7.5993e+18,16.824,0.13194,0.22067,0.54407
C,1.5975e+19,36.237,1.2278,0.29726,0.33135
C,5.4714e+18,19.319,0.2528,0.28764,0.35551
C,1.2157e+19,24.079,1.0942,0.30462,0.3135
C,1.1845e+19,9.9547,0.3997,0.2701,0.40176
C,2.4901e+19,3.3345,0.26368,0.223,0.53708
C,1.3511e+19,8.4557,0.14501,0.2797,0.37611
C,4.4566e+19,1.531,0.078319,0.10691,0.86686
C,9.3908e+18,20.2,1.0052,0.21821,0.55147
C,1.4986e+19,5.7682,0.33958,0.25474,0.44434
C,1.5325e+19,5.343,0.21528,0.19943,0.60825
C,2.9516e+19,1.608,0.021942,0.29279,0.34246
C,1.3516e+19,5.6013,0.39849,0.21951,0.54754
C,1.3999e+19,8.1915,0.84273,0.18675,0.64665
C,1.0015e+19,7.6432,0.29519,0.16681,0.70623
C,1.9394e+19,5.1959,0.56591,0.25607,0.44059
C,2.4158e+19,4.7551,0.35077,0.22464,0.53218
C,8.4946e+18,16.351,0.16954,0.19496,0.62182
C,1.3171e+19,14.634,0.40865,0.30385,0.31536
C,2.3959e+19,7.2498,0.6582,0.30357,0.31603
C,1.2521e+19,6.768,0.15289,0.19643,0.61735
C,1.5896e+19,10.722,0.68267,0.29287,0.34227
C,1.254e+19,11.321,0.2348,0.29828,0.32885
C,6.8342e+18,16.301,0.35757,0.29169,0.34524
C,2.3431e+19,3.5497,0.15323,0.29407,0.33926
C,4.6184e+18,23.574,0.11223,0.27431,0.3904
C,3.2403e+19,2.1512,0.1878,0.22675,0.52587
C,1.5727e+19,7.3684,0.36526,0.19387,0.62513
C,1.5078e+19,6.8989,0.54066,0.26099,0.4268
C,1.2552e+19,7.8432,0.28298,0.23029,0.51534
C,6.0014e+18,18.352,0.0027551,0.29745,0.33089
C,1.1185e+19,6.8921,0.17101,0.16749,0.70422
C,1.7328e+19,12.689,1.1125,0.25132,0.45406
C,1.2388e+19,10.881,0.19559,0.30396,0.31509
C,1.3411e+19,11.519,0.44207,0.26823,0.40685
C,1.2608e+19,8.2562,0.2168,0.27217,0.39615
C,2.1738e+19,11.193,0.83305,0.29374,0.3401
C,2.6425e+19,3.3866,0.079871,0.30531,0.31186
C,1.6412e+19,4.9812,0.15457,0.20933,0.57827
C,1.6951e+19,9.9873,1.1406,0.28427,0.36417
C,1.3394e+19,5.4714,0.10569,0.19089,0.63414
C,1.7069e+19,3.9199,0.2927,0.28126,0.37202
C,1.9891e+19,3.1018,0.059861,0.18586,0.64935
C,1.8471e+19,4.2325,0.17944,0.29386,0.3398
C,1.3496e+19,4.4371,0.027827,0.25991,0.42981
C,7.1253e+18,11.469,0.079118,0.08647,0.91077
C,2.2601e+19,3.1352,0.10147,0.18557,0.6502
C,2.7998e+19,2.5644,0.25476,0.25474,0.44435
C,9.8388e+18,11.094,0.22437,0.15455,0.74188
C,1.768e+19,6.2264,0.46522,0.27867,0.37881
C,1.1224e+19,11.309,0.38135,0.24221,0.48032
C,1.9046e+19,7.1419,0.58612,0.30867,0.30394
C,1.2152e+19,9.1796,0.1307,0.27933,0.37706
C,1.3099e+19,13.096,0.70551,0.17975,0.66773
C,1.1628e+19,9.9108,0.14449,0.18734,0.64488
C,1.2778e+19,35.56,0.62026,0.15806,0.73178
C,2.0604e+19,9.2842,0.99058,0.22321,0.53644
C,1.2585e+19,10.845,0.38946,0.29047,0.3483
C,1.3373e+19,8.2875,0.23387,0.28103,0.3726
C,1.4886e+19,12.959,1.3087,0.19068,0.63476
C,1.6879e+19,14.67,0.79437,0.17073,0.69463
C,1.1409e+19,5.2708,0.19882,0.16373,0.71528
C,1.221e+19,9.2127,0.15449,0.27387,0.39157
C,1.426e+19,11.774,1.0974,0.2999,0.32489
C,1.0113e+19,33.076,0.42656,0.23231,0.50935
C,1.5739e+19,19.146,0.81171,0.28222,0.3695
C,1.0189e+19,11.428,0.29286,0.31029,0.30015
C,9.2982e+18,8.8048,0.1531,0.16759,0.70391
C,1.0698e+19,45.398,0.88968,0.26112,0.42644
C,1.4488e+19,7.5111,0.17535,0.21437,0.56301
C,1.546e+19,12.363,0.62485,0.27566,0.38681
C,8.0558e+18,14.79,0.15384,0.29797,0.32963
C,1.1908e+19,7.3683,0.18025,0.27797,0.38065
C,1.4087e+19,10.94,0.48396,0.28691,0.35738
C,2.9573e+19,2.0898,0.35727,0.24059,0.48503
C,1.1837e+19,7.5152,0.29636,0.28808,0.3544
C,9.8923e+18,12.487,0.67923,0.26968,0.40288
C,7.8256e+18,9.729,0.33903,0.3058,0.31069
C,2.0582e+19,7.3375,0.38565,0.26838,0.40643
C,2.6088e+19,2.5505,0.12598,0.27364,0.3922
C,1.9442e+19,10.73,1.041,0.2944,0.33844
C,1.1032e+19,9.8086,0.20079,0.25563,0.44184
C,1.3245e+19,6.3255,0.05606,0.27701,0.3832
C,1.5224e+19,8.9476,0.45702,0.23761,0.49375
C,1.2988e+19,12.972,0.31999,0.2588,0.43292
C,9.9666e+18,9.5673,0.1509,0.15378,0.7441
C,2.2683e+19,4.3103,0.38149,0.19459,0.62295
C,1.1741e+19,6.46,0.32476,0.30189,0.32007
C,9.0164e+18,15.388,0.27583,0.14275,0.77514
C,1.9001e+19,7.1757,0.48918,0.23017,0.5157
C,6.2821e+18,17.905,0.16775,0.29154,0.34561
C,1.49e+19,5.4489,0.17358,0.19981,0.60712
C,2.051e+19,3.345,0.15494,0.28538,0.3613
C,1.2666e+19,4.3226,0.032916,0.28647,0.35849
C,4.0737e+19,2.6916,0.25912,0.264,0.41846
C,1.0847e+19,10.99,0.30677,0.25981,0.43008
C,1.1644e+19,20.72,0.66496,0.18292,0.65819
C,6.0252e+18,30.884,0.21973,0.29667,0.33282
C,1.481e+19,12.912,0.62377,0.25697,0.43805
C,2.4491e+19,3.6974,0.3107,0.28387,0.36522
C,2.1109e+19,6.7832,0.87658,0.29492,0.33714
C,2.4763e+19,2.8037,0.00654,0.24745,0.46514
C,1.9016e+19,3.1551,0.037451,0.22559,0.52934
C,9.8053e+18,8.9987,0.21146,0.29968,0.32544
C,2.3336e+19,3.0087,0.35501,0.23384,0.50483
C,5.4778e+18,17.064,0.25149,0.30635,0.3094
C,1.5278e+19,13.377,0.99308,0.16893,0.69997
C,3.1014e+19,2.1745,0.15203,0.17581,0.67953
C,1.0517e+19,5.6792,0.0055074,0.23374,0.50514
C,6.0603e+18,17.601,0.082432,0.15692,0.73505
C,2.7531e+19,2.7076,0.24596,0.29431,0.33866
C,1.2805e+19,8.4661,0.38202,0.29079,0.34751
C,2.0664e+19,4.3032,0.13301,0.22881,0.51973
C,2.9402e+19,3.0128,0.16396,0.15952,0.72753
C,2.3288e+19,4.8894,0.47605,0.22459,0.53232
C,1.5412e+19,4.8364,0.10945,0.20874,0.58004
C,3.2863e+19,1.9121,0.03843,0.22678,0.52578
C,4.616e+19,1.5842,0.16796,0.22265,0.53811
C,7.3027e+19,1.2483,0.42618,0.30549,0.31144
C,5.3297e+19,1.5769,0.154,0.23945,0.48835
C,2.1034e+19,4.0008,0.19008,0.26746,0.40895
C,1.6751e+19,9.6615,0.38444,0.22267,0.53808
C,1.7092e+19,5.0758,0.39288,0.26752,0.40877
C,1.4628e+19,13.635,0.92343,0.28407,0.36469
C,1.7144e+19,9.4754,0.64355,0.29658,0.33303
C,1.1735e+19,9.8054,0.24339,0.2949,0.3372
C,1.3089e+19,10.309,0.19725,0.2471,0.46615
C,8.3585e+18,8.4958,0.22693,0.15565,0.73873
C,1.1397e+19,8.5798,0.22653,0.25296,0.44939
C,2.4658e+19,3.624,0.163,0.18369,0.65588
C,8.8472e+18,18.348,0.13018,0.2938,0.33995
C,8.8947e+18,9.8807,0.27767,0.16427,0.71368
C,1.2913e+19,6.9319,0.2633,0.24421,0.47451
C,1.856e+19,4.9262,0.12223,0.27499,0.38859
C,9.7422e+18,14.331,0.64674,0.27624,0.38525
C,1.4486e+19,8.4885,0.52015,0.15927,0.72825
C,2.3897e+19,3.8745,0.19452,0.17723,0.67528
C,1.3428e+19,8.904,0.91743,0.28044,0.37416
C,9.7553e+18,10.051,0.32094,0.30083,0.32264
C,2.2938e+19,3.6914,0.21793,0.2428,0.4786
C,1.5044e+19,5.9876,0.36585,0.29929,0.32639
C,1.2622e+19,11.228,0.32759,0.29225,0.34382
C,1.7711e+19,4.8068,0.26801,0.26772,0.40823
C,1.3015e+19,11.726,0.31173,0.2638,0.41901
C,1.1303e+19,14.297,0.42226,0.27887,0.3783
C,2.4809e+19,2.8301,0.17256,0.28962,0.35046
C,1.5242e+19,4.1667,0.028396,0.27112,0.39899
C,7.2492e+18,12.791,0.11811,0.23496,0.50154
C,1.4806e+19,7.5894,0.54114,0.30526,0.31199
C,1.3101e+19,8.7526,0.23248,0.13397,0.79904
C,2.3256e+19,2.1976,0.08646,0.29606,0.33433
C,1.0979e+19,8.5531,0.1918,0.27802,0.38053
C,1.7722e+19,6.6165,0.31239,0.18196,0.6611
C,1.862e+19,7.3849,0.57996,0.23038,0.51506
C,8.4635e+18,15.854,0.20562,0.27875,0.37859
C,1.3795e+19,12.729,0.59741,0.25593,0.44099
C,1.6889e+19,3.9261,0.16856,0.1736,0.68611
C,7.3072e+18,12.783,0.24486,0.28272,0.3682
C,9.7142e+18,7.3475,0.13692,0.16809,0.70246
C,1.5689e+19,9.5301,0.54036,0.2397,0.48763
C,1.5468e+19,10.165,0.89016,0.21989,0.5464
C,1.4532e+19,7.8511,0.41425,0.21875,0.54983
C,2.7152e+19,3.5254,0.4158,0.25226,0.45138
C,2.0257e+19,7.9817,0.58132,0.30835,0.30469
C,1.7263e+19,3.5377,0.11972,0.27134,0.39839
C,2.1195e+19,9.5374,0.71971,0.19083,0.63431
C,1.4092e+19,4.1934,0.070691,0.16454,0.7129
C,1.3116e+19,5.7396,0.16576,0.26618,0.41245
C,1.0673e+19,7.2503,0.044554,0.17993,0.6672
C,9.196e+18,23.204,0.76112,0.2686,0.40582
