genome_name,assembly_type,genome_size_mb,busco_complete_pct,completeness_pct,n_contigs,gc_pct,n50_kb,is_representative,taxonomy
SRR16953767,SAG,87.91,78.4,81.9,38412,19.17,2.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Ophryoscolex;s__Ophryoscolex purkynjei
FP100002877TR_L01_124,SAG,83.57,76.0,80.7,35719,19.37,2.6,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Ophryoscolex;s__Ophryoscolex purkynjei
SRR16953801,SAG,106.7,81.8,85.3,48116,19.37,2.4,Yes,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Ophryoscolex;s__Ophryoscolex purkynjei
FP100002877TR_L01_93,SAG,63.87,73.7,77.8,27715,19.59,2.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Ophryoscolex;s__Ophryoscolex purkynjei
T2202233833,SAG,30.75,54.4,59.7,14430,20.49,2.3,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Ophryoscolex;s__Ophryoscolex purkynjei
T2202233819,SAG,78.39,77.2,81.3,35283,19.24,2.4,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Ophryoscolex;s__Ophryoscolex purkynjei
SRR16953736,SAG,46.9,76.6,81.3,24962,22.14,1.9,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Ophryoscolex;s__Ophryoscolex purkynjei
SRR16953757,SAG,78.78,80.7,84.2,37421,20.65,2.2,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Ophryoscolex;s__Ophryoscolex purkynjei
T2111217736,SAG,89.89,76.1,81.4,38984,19.08,2.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Ophryoscolex;s__Ophryoscolex purkynjei
T2111217735,SAG,58.53,72.5,74.3,25193,19.76,2.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Ophryoscolex;s__Ophryoscolex purkynjei
FP100002877TR_L01_115,SAG,97.03,84.2,86.5,41109,19.03,2.6,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Ophryoscolex;s__Ophryoscolex purkynjei
T2202233857,SAG,90.85,74.9,80.7,39455,18.98,2.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Ophryoscolex;s__Ophryoscolex purkynjei
T2202233834,SAG,66.96,74.3,79,29552,19.4,2.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Ophryoscolex;s__Ophryoscolex purkynjei
T2111217738,SAG,92.63,77.7,80.6,40778,19.12,2.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Ophryoscolex;s__Ophryoscolex purkynjei
co-rumen_bin995,MAG,25.64,47.4,51.5,9424,21.95,2.8,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Ophryoscolex;s__Ophryoscolex purkynjei
co-rumen_bin243,MAG,20.78,50.9,53.8,7713,22.95,2.7,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Ophryoscolex;s__Ophryoscolex purkynjei
T2202233856,SAG,91.24,81.3,84.2,40065,19.18,2.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Ophryoscolex;s__Ophryoscolex purkynjei
T2202233818,SAG,82.85,76.6,79.5,36580,19.12,2.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Ophryoscolex;s__Ophryoscolex purkynjei
FP100002877TR_L01_114,SAG,99.15,80.1,83.6,42828,19.09,2.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Ophryoscolex;s__Ophryoscolex purkynjei
FP150000366TR_L01_165,SAG,59.94,73.1,77.8,26207,21.19,2.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Ostracodinium;s__Ostracodinium gracile
SRR16953766,SAG,93.72,80.7,85.4,40221,21.29,2.5,Yes,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Ostracodinium;s__Ostracodinium gracile
SRR16953752,SAG,53.74,71.4,75.5,24414,22.36,2.4,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Ostracodinium;s__Ostracodinium gracile
FP150000366TR_L01_155,SAG,84.93,77.2,82.5,37486,20.98,2.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Ostracodinium;s__Ostracodinium gracile
SRR16953768,SAG,30.57,53.2,59.6,13000,22.38,2.6,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Ostracodinium;s__Ostracodinium gracile
FP150000366TR_L01_156,SAG,27.13,56.8,59.1,12512,22.2,2.3,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Ostracodinium;s__Ostracodinium gracile
D2114745A,SAG,42.22,74.8,77.7,20981,24.06,2.1,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Ostracodinium;s__Ostracodinium mammosum
T2202233841,SAG,73.34,83.0,87.7,31595,21.5,2.5,Yes,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Ostracodinium;s__Ostracodinium mammosum
T2202233839,SAG,77.1,79.5,84.2,33492,21.36,2.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Ostracodinium;s__Ostracodinium mammosum
SRR16953738,SAG,48.52,79.0,84.3,23977,23.95,2.1,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Ostracodinium;s__Ostracodinium mammosum
FP150000367TR_L01_190,SAG,19.34,50.9,54.4,9097,23.33,2.2,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Ostracodinium;s__Ostracodinium mammosum
FP150000367TR_L01_180,SAG,114.44,83.0,86.5,49556,20.93,2.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron multivesiculatum
T2202233836,SAG,81.55,77.2,82.5,36953,20.3,2.4,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron multivesiculatum
SRR16953778,SAG,71.87,74.3,81.9,33525,20.75,2.3,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron multivesiculatum
SRR16953784,SAG,80.24,77.7,82.4,36138,20.81,2.4,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron multivesiculatum
FP150000366TR_L01_171,SAG,83.37,79.5,87.1,36405,19.81,2.5,Yes,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron multivesiculatum
FP150000367TR_L01_183,SAG,76.09,80.1,85.4,32972,20.03,2.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron multivesiculatum
FP150000367TR_L01_177,SAG,71.86,78.4,83.7,30576,20.06,2.6,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron multivesiculatum
FP150000366TR_L01_166,SAG,42.01,64.9,68.4,18430,20.62,2.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron multivesiculatum
SRR16953792,SAG,31.64,59.6,64.3,14302,21.19,2.4,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron multivesiculatum
SRR16953790,SAG,42.82,62.6,67.3,18955,20.72,2.4,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron multivesiculatum
T2202233871,SAG,79.79,78.4,84.2,35122,19.94,2.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron multivesiculatum
T2111217747,SAG,76.12,78.9,84.7,33274,19.92,2.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron multivesiculatum
FP150000367TR_L01_184,SAG,74.8,76.0,80.7,31837,20.03,2.6,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron multivesiculatum
T2202233835,SAG,67.16,71.4,78.4,29397,19.9,2.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron multivesiculatum
T2111217716,SAG,75.29,79.6,84.9,33209,19.89,2.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron multivesiculatum
P4-1108,SAG,25.2,57.9,70.2,13798,26.04,1.8,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron multivesiculatum
FP150000367TR_L01_181,SAG,79.85,78.4,83.7,34576,19.88,2.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron multivesiculatum
FP150000367TR_L01_188,SAG,77.49,79.0,85.4,33700,20,2.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron multivesiculatum
SRR16953787,SAG,21.73,50.3,56.1,10557,21.74,2.1,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron multivesiculatum
FP150000366TR_L01_164,SAG,40.48,61.4,64.3,19781,21.69,2.1,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron multivesiculatum
N4-1108,SAG,36.21,64.4,73.2,18568,25.32,1.9,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron multivesiculatum
P5-1108,SAG,30.1,59.7,70.8,14335,26.94,2.1,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron multivesiculatum
N5-1108,SAG,32.18,57.9,68.4,16463,25.57,1.9,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron multivesiculatum
N3-1108,SAG,33.7,60.2,70.7,12892,29.41,2.9,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron multivesiculatum
FP150000367TR_L01_178,SAG,80.34,80.1,86.5,34629,19.89,2.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron multivesiculatum
FP150000366TR_L01_174,SAG,81.64,80.7,86,35848,19.84,2.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron multivesiculatum
SRR16953800,SAG,78.12,74.3,80.7,35209,20.37,2.4,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron multivesiculatum
2D5_S10,SAG,89.9,81.3,86,40850,20.15,2.4,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron multivesiculatum
2D12_S22,SAG,87.7,81.3,86,39224,20.51,2.4,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron multivesiculatum
SRR16953735,SAG,89.31,76.7,83.1,40834,20.22,2.4,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron multivesiculatum
2D7_S11,SAG,87.86,79.5,83,39849,20.17,2.4,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron multivesiculatum
FP150000367TR_L01_185,SAG,80.84,81.3,86.6,34920,19.93,2.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron multivesiculatum
SRR16953785,SAG,44.8,66.7,69.6,20238,20.69,2.4,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron multivesiculatum
P5,SAG,27.28,57.3,67.2,16276,24.8,1.7,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron multivesiculatum
P2-1108,SAG,21.37,50.9,63.8,12821,25.08,1.7,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron multivesiculatum
P6,SAG,29.25,58.5,70.8,16979,24.59,1.7,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron multivesiculatum
P2,SAG,31.04,64.4,74.3,15590,27.12,2.0,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron multivesiculatum
N2-1108,SAG,29.16,56.1,69.6,13878,27.19,2.0,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron multivesiculatum
P4,SAG,30.46,55.6,68.5,17853,24.33,1.7,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron multivesiculatum
P3,SAG,34.08,59.6,71.3,17503,26.15,1.9,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron multivesiculatum
P1,SAG,30.29,60.3,71.4,13108,29.05,2.3,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron multivesiculatum
N1-1108,SAG,22.69,55.6,67.9,11565,27.19,1.9,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron multivesiculatum
co-abomasum_bin86,MAG,70.85,59.6,62.5,26563,19.89,2.7,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron sp. RCG1
JZ24006088,SAG,35.45,64.9,70.2,18180,25.61,1.9,Yes,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron sp. RCG1
T2202233853,SAG,57.56,80.7,84.8,21477,21.75,3.1,Yes,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium bovis
T2202233854,SAG,81.62,81.3,84.2,34128,21.61,2.6,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium bursa
T2202233872,SAG,76.58,83.0,86.5,31928,21.96,2.6,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium bursa
T2111217748,SAG,65.35,83.7,87.2,27239,21.93,2.7,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium bursa
D2114743A,SAG,43.79,78.4,82.5,19965,24.26,2.4,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium bursa
FP100002877TR_L01_53,SAG,62.75,83.0,87.1,24215,21.49,2.9,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium bursa
D2114773A,SAG,58.23,84.2,87.7,23480,23.68,2.8,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium bursa
H18,SAG,41.68,65.0,68.5,16351,22.92,2.7,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium bursa
D2114746A,SAG,30.89,71.4,75.5,15263,24.15,2.1,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium bursa
D2114751A,SAG,60.71,84.2,87.7,23493,23.42,2.9,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium bursa
D2114757A,SAG,66.52,85.4,88.9,26639,23.38,2.8,Yes,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium bursa
SRR16953755,SAG,57.47,80.1,82.4,23613,22.51,2.7,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium bursa
T2202233891,SAG,64.67,81.3,85.4,26313,21.86,2.8,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium bursa
SRR16953734,SAG,57.51,76.6,80.7,23473,21.71,2.7,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium bursa
T2202233874,SAG,45.09,77.8,81.3,18104,22,2.8,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium bursa
T2202233894,SAG,60.32,83.6,87.1,23635,21.37,2.9,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium bursa
T2202233892,SAG,58.1,80.7,85.4,23128,21.47,2.8,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium bursa
T2202233873,SAG,46.37,76.0,79.5,18736,22.01,2.7,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium bursa
T2202233907,SAG,63.38,78.4,84.2,25812,21.51,2.8,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium bursa
T2202233904,SAG,58.91,81.3,85.4,23896,21.51,2.8,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium bursa
T2202233893,SAG,60.04,80.7,83.6,23527,21.43,2.9,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium bursa
T2202233905,SAG,54.82,79.5,83.6,22033,21.68,2.8,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium bursa
T2202233906,SAG,63.93,82.4,87.1,25840,21.7,2.8,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium bursa
SRR16953799,SAG,62.34,81.3,86,25958,22.26,2.7,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium bursa
yu2021,mono,116.88,85.4,90.1,12311,23,20.3,Yes,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium caudatum
co-rumen_bin209,MAG,131.07,63.8,67.3,52365,22.11,2.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium dilobum
T2202233877,SAG,46.79,73.7,77.2,19211,22.45,2.7,Yes,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium dilobum
co-rumen_bin247,MAG,42.84,55.0,60.3,15539,22.91,2.8,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium dilobum
co-rumen_bin225,MAG,43.77,66.6,76,17649,22.83,2.7,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium dilobum
co-rumen_bin177,MAG,35.53,55.5,61.9,10407,22.03,3.8,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium dilobum
co-rumen_bin1438,MAG,40.23,62.0,67.8,11785,22.22,3.8,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium dilobum
co-rumen_bin1124,MAG,43.24,65.5,69.6,12413,22.08,3.9,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium dilobum
co-rumen_bin617,MAG,39.11,54.9,57.8,13979,22.72,2.9,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium dilobum
co-reticulum_bin101,MAG,37.76,58.4,61.3,13014,22.36,3.1,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium dilobum
co-rumen_bin497,MAG,40.61,50.3,53.8,14438,22.35,2.9,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium dilobum
co-rumen_bin1673,MAG,35.74,49.1,53.8,12476,22.72,3.0,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium dilobum
co-rumen_bin275,MAG,30.72,52.6,57.9,9687,21.64,3.4,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium dubardi
co-rumen_bin125,MAG,24.07,50.3,55,11231,22.97,2.3,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium dubardi
T2202233901,SAG,11.97,47.3,51.4,5613,23.72,2.2,Yes,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium dubardi
T2202233887,SAG,53.4,76.6,80.7,23134,22.6,2.5,Yes,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium ekendrae
FP100002877TR_L01_50,SAG,25.96,58.5,63.2,12311,23.46,2.2,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium ekendrae
T2202233881,SAG,52.54,81.3,84.8,21316,20.6,2.8,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium furca
FP100002877TR_L01_77,SAG,63.58,79.5,84.8,24961,20.46,2.9,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium furca
co-rumen_bin2254,MAG,41.09,59.0,63.7,14584,20.91,2.9,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium furca
T2202233826,SAG,35.15,73.1,77.8,15291,21.17,2.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium furca
FP100002877TR_L01_104,SAG,49.92,80.1,84.8,19505,20.79,2.9,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium furca
T2202233885,SAG,50.95,77.2,81.9,20715,20.83,2.7,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium furca
FP100002877TR_L01_59,SAG,63.39,80.1,85.4,24266,20.54,3.0,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium furca
FP100002877TR_L01_85,SAG,41.84,73.1,77.2,17320,21.25,2.7,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium furca
T2111217737,SAG,28.92,63.2,67.3,12412,22.99,2.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium furca
FP100002877TR_L01_89,SAG,12.6,47.4,52.7,6127,22.54,2.1,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Entodinium;s__Entodinium furca
